Wine,Price_USD,Points,description,variety
Cave Spring 2015 Estate Riesling (Beamsville Bench),18,93,"This is a dry-style Riesling, though it still lends a ripe, fruity impression. Lemon, lime and grapefruit are shuffled into a winning hand, with ample details of cilantro, fennel and wet stone. It's a vibrant, refreshing wine that is immensely food friendly.",Riesling
Château d'Aydie 2013 Laplace Tannat (Madiran),15,93,"This celebration of Tannat is a balanced while severe and structured wine. Plenty of juicy fruit is ready to come out from behind the dry, tannic structure. There is power here as well in this wine that is firm and needs to age. Drink from 2019.",Tannat
Château d'Aydie 2012 Odé d'Aydie Tannat (Madiran),19,93,"Powerful tannins are the dominant theme of this still-young wine that is dark, brooding, very firm and young. Big and muscular, this is a wine for long-term aging. Even the black currant fruits need time to soften the intensity of their tannins. Drink from 2019.",Tannat
Love & Squalor 2013 Riesling (Willamette Valley),18,93,"This packs tremendous flavor into a low-alcohol wine with moderate residual sugar. Peach pit and juice, green apple and citrusy acids start it off. The flavors keep going through a long, complex finish, adding subtle notes of herb and cut grass.",Riesling
Au Contraire 2013 Chardonnay (Russian River Valley),20,93,"This is a delightfully floral and lemony-crisp wine, with a touch of crème brûlée balanced between layers of citrus. Despite the rich accent, it's light-bodied and easy to like, offering subtle complexity and a sultry, spicy finish.",Chardonnay
Domaine Jean Sipp 2013 Vieilles Vignes Riesling (Alsace),20,93,"Hints of dried pear and apple appear on the nose and suggest subtlety but the palate does otherwise: it comes in with bright citrus freshness, recalling lemon oil and candied lemon peel. This is absolutely dry and very sprightly, lively and even exuberant. There is great depth of fruit here that will just evolve. Drink 2017—2030.",Riesling
Patianna 2009 Made With Organic Grapes Sauvignon Blanc (Mendocino),17,93,"Winemaker Mike Lee continues to prove his prowess with Sauvignon Blanc in this latest vintage of Patianna, Patti Fetzer's line of organically farmed wines from outside of Hopland in Mendocino County. Fermented entirely in stainless steel without undergoing ML or barrel aging, it delivers everything you love about the variety, inviting one in with melon and minerality, then following through with a surprising creaminess and almost decadent, mousse-like finish.",Sauvignon Blanc
Wines & Winemakers 2011 Aguia Moura em Vinhas Velhas Reserva Red (Douro),18,93,"A powerfully constructed wine, it is packed with fruit and tannins. With a leather and spice character, it shows a dry texture while the black plum skin flavors are still developing. The future holds rich fruitiness as well as a solid, concentrated structure. Drink from 2017.",Portuguese Red
Thurston Wolfe 2010 JTW Reserve Port Red (Columbia Valley (WA)),16,93,"A blend of Touriga Nacional, Tinta Cao and Souzao, finished at 19% alcohol. With sensational concentration and fruit power, this rich and delicious wine is amplified with a sweet array of baking spices, vanilla, coconut and white chocolate.",Touriga Nacional Blend
Château d'Aydie 2010 Aydie l'Origine Tannat-Cabernet Franc (Madiran),12,93,"This is smooth, rich and elegant, with black fruits and acids that are contained within a firm, understated structure. It has power, but it's contained  in a velvet glove.",Tannat-Cabernet Franc
Efeste 2013 Evergreen Vineyard Riesling (Ancient Lakes),20,93,"This wine is an aromatic tour de force with notes of apricot, pear, honey and slate. The off-dry fruit flavors are ripe, lightly spritzy and layered, with a drawn-out feel that leads to an explosion of fruit on the finish.",Riesling
McClean 2010 Simone Red (Paso Robles),20,93,"Though already four years old, this blend of 77% Zinfandel and 23% Petite Sirah shows lots of promise for a long-lasting wine. Complicated aromas of tobacco and ripe boysenberries become sagebrush herbs on the palate, bolstered by blueberry and elderberry fruits. The tannic grip is still strong, so drink 2018–2028.",Red Blend
AntoLin Cellars 2010 Viognier (Yakima Valley),19,93,"This southern Rhône-style blend includes 10% each Marsanne and Roussanne. It's flat out lovely and silky smooth, with scents and flavors of honey-laced flowers. Lemon, lime and grapefruit dominate the palate, with superb balance and persistence. Certainly one of the best Washington State Viogniers I have ever tasted.",Viognier
Au Contraire 2014 Chardonnay (Russian River Valley),20,93,"This is a pretty, floral and balanced wine, elegantly austere in preserved lemon, yuzu and grapefruit, with richer overtones that build on the medium-body toward the lengthy finish. A wine made for the table, it'll pair well and widely, though it can also stand deliciously on its own.",Chardonnay
Quinta do Vale Meão 2013 Meandro do Vale Meão Red (Douro),20,93,"The name of the wine comes from the huge horseshoe bend of the Douro River that surrounds the Meão vineyards on three sides. This is the second wine of the estate, ripe with tannins and packed with black fruits. It is developing quickly and is ready to drink now.",Portuguese Red
Domaine des Carteresses 2016  Tavel,15,93,"It's hard to believe it's possible to buy this quality rosé for so little money. Mouthwatering scents of raspberry, stone fruit and crushed stone emerge from the glass, followed by rich, ripe fruit flavors balanced by just-enough citrusy acidity. It's full-bodied and plush, yet vibrant and long on the finish.",Rosé
Château la Reyne 2011 L'Excellence Malbec (Cahors),20,93,"This is a mineral-driven wine, austere at first then showing great black fruits that are sustained by acidity. It's a wood-aged and complex wine that is likely to develop into something powerful and impressive. Drink from 2019.",Malbec
Mount Eden Vineyards 2012 Wolff Vineyard Chardonnay (Edna Valley),20,93,"Buttered toast, oaky smoke and a slight mango tropicality converge for an epic nose on this Chardonnay from a vineyard that was planted in 1976. There are layers of flavor too, lime citrus at first evolving toward brioche with a butterscotch finish, and some salt and cracked pepper throughout.",Chardonnay
Domaine de Côtes Rémont 2015  Chénas,18,93,"This is a delicious and fruity wine from the smallest Beaujolais cru. There are tannins although they are lost in the generous cushion of ripe blackberry and black-cherry fruits. It is a smooth, rounded wine that is packed with fruit at the moment. Give it time and it will mature well. Drink from 2018.",Gamay
Two Vintners 2013 Make Haste Cinsault (Yakima Valley),20,93,"This is a rare, 100% varietal Cinsault from Olsen Vineyard that saw only neutral French oak, and it's hard to imagine a more pure representation of the variety. Aromas of tart red fruit and flowers with high-toned stem accents are followed by piercingly pure, elegantly styled fruit and savory flavors that undulate across the palate. The balance is exquisite. It stands up beautifully on its own but will truly sing at the dinner table. Pair it with lamb.",Cinsault
Airlie 2016 Old Vines Dry Riesling (Willamette Valley),20,93,"Made from vines planted in 1983, this is dry and textural, with crisp and complex lemon, tangerine and orange peel flavors. It's persistent and fleshy, finishing with a touch of minerality.",Riesling
Andrew Murray 2013 Tous Les Jours Syrah (Santa Ynez Valley),20,93,"Perhaps one of the best wines for the money available right now, Andrew Murray delivers aromas of cherry, blackberry, lavender and a white pepper wow factor on the very inviting, florally driven nose. The wine looks silky in the glass, and flavors of black cherry, anise, violet and oregano are easily accessible to a wide variety of palate preferences.",Syrah
Allram 2013 Hasel Alte Reben Reserve Grüner Veltliner (Kamptal),14,93,"Lifted notes of Conference pear blended with creamy, balmy aloe vera create an intriguing, friendly and inviting nose, while a pleasantly bitter edge suggests some grapefruit zest. The palate is zingy, sprightly and fresh, almost belying the concentrated power at its base. Texturally this is a pleasure too, with a wonderfully ripe phenolic edge.",Grüner Veltliner
Styring 2014 Whimsy Riesling (Ribbon Ridge),20,93,"Ribbon Ridge is making a name for itself as a premier AVA for Oregon Riesling. This rich, mineral-laden wine is scented with orange blossoms and loaded with fruit flavors of Bosc pears, peaches, apricots and a touch of grapefruit. It's big, full bodied, fresh and powerful, and an excellent value.",Riesling
Michael David 2008 6th Sense Syrah (Lodi),16,93,"A ridiculously hedonistic bottle of Syrah, this hits you first with its heady aromas of strong black olive, tobacco and bacon, then seduces you further with layers of rich berry fruit topped by Syrah-proper pepper. Blended with Petite Sirah and Petit Verdot and fairly high in alcohol (15.5%) this is one for those who love good Syrah.",Syrah
Boeger 2013 Walker Vineyard Zinfandel (El Dorado),19,93,"Purely delicious, this has stunning and distinctive aromas and flavors that recall pomegranate juice and blueberries, plus a velvety-smooth texture. While very full bodied, this wine does not win with power but with grace. It has excellent balance and harmony, and stands above the crowd.",Zinfandel
Gunter Triebaumer 2015 Furmint (Burgenland),14,93,"Gorgeously lifted notes of mint and crushed citrus foliage suggest immense purity with the very first whiff. The palate has the same lifted quality but is fleet of foot and more rounded than you would expect. It remains slender but charms with exquisitely pure lemon freshness and an essence of tart apple. Both intriguing and delicious, this drinks well now but will evolve. Drink 2016–2024.",Furmint
Bodkin 2015 Hotspur Rosé of Syrah (Russian River Valley),19,93,"There are so many unexpected joys in this 100% varietal wine, given the chance to shine in light-bodied wisps of tangerine, lemon and lime. Despite its delicate nature, it doesn't skimp on satisfaction nor complexity, delivering waves of flavor sip after sip.",Syrah
Château Peyros 2011 Vieilles Vignes Tannat-Cabernet Franc (Madiran),16,93,"This blend of 80% Tannat and 20% Cabernet Franc has given a wine that is both dense and smoothly ripe. Rich black fruits dominate, supported by a dry, solid structure from the Tannat. It is a wine to age, so drink from 2019.",Tannat-Cabernet Franc
Charles Heintz 2013 Rosé of Pinot Noir (Sonoma Coast),19,93,"Sought-after vineyard grower Charles Heintz has teamed with stellar Sonoma County winemaker Hugh Chappelle (Lynmar, Quivira) to make this divine estate-grown Rosé, pale pink in the glass with hugely inviting floral aromatics. From there is a bolt of electricity, the wine juicy and alive in peach, citrus and strawberry, mouthwatering and light.",Pinot Noir
Bonnet-Huteau 2012 Goulaine  (Muscadet Sèvre et Maine),18,93,"A parcel of 40-year-old vines, this is a full, ripe wine that balances a tangy texture with rich yellow fruits. There is a mineral background along with fine acidity. The wine is impressive, full both of fruit and structure. It is ready to drink, rich and concentrated.",Melon
Companhia das Quintas 2010 Quinta do Cardo Selecção do Enólogo Red (Beira Interior),16,93,"This is an impressive wine, full of rich fruits and a dense and firm structure. The wine, with its black berry and plum flavors, is dry and concentrated, with a powerful and complex texture that suggests a fine minerality. It definitely needs aging, so drink from 2016.",Portuguese Red
Kerloo 2014 Blue Mountain Syrah (Walla Walla Valley (WA)),20,93,"Vibrant aromas of violet, herb, orange peel, smoked meat and plum lead to dense fruit flavors brightened by snappy acidity. It shows uncommon purity and depth that kicks it up a notch, along with enough tannic heft that cellaring will be rewarded. The balance is impeccable.",Syrah
Fischer 2014 Ried Kirnberg Riesling (Wachau),18,93,"There are regular, small explosions of citrus on the slender, taut palate of this exciting Wachau Riesling. This is so lively and energetic that you just want to keep sipping. It is slender, brisk and crisp and leaves the mouth feeling totally clean and invigorated. Not for the faint-hearted but thrilling for true acidhounds.",Riesling
Eichinger 2014 Wechselberg Grüner Veltliner (Kamptal),19,93,"Apart from fresh citrus peel and yeasty savoriness, this Grüner delivers a full herbal repertoire of chervil and rocket, watercress and lemon balm. The spine is of lemony acidity, painting a picture of thrilling, concentrated freshness, interspersed with peppery layers of interest and a nearly endless herbal finish.",Grüner Veltliner
Fischer 2014 Ried Steiger Riesling (Wachau),18,93,"Flinty notes of reduction are top aromas, then citrus-fuelled pepperiness ensues. This is lively, lithe and brisk with lip-smacking freshness and a total refreshment factor. It has the tension of a high-wire. These are Riesling acrobatics in a glass. Bravo.",Riesling
Lynmar 2014 Rosé of Pinot Noir (Russian River Valley),20,93,"Made from both grapes directly pressed into wine as well as bled off, this crisply complex offering is springtime in a glass, a soft and supple evoking of fresh-cut pineapple that remains dry and delicious without ever overreaching. Medium in body, with a hint of dried herb on the back palate, it offers structure and just the right amount of weight.",Pinot Noir
Poet's Leap 2010 Riesling (Columbia Valley (WA)),20,93,"From an especially cool vintage that favored acidity and citrus, this Poet's Leap is a pretty wine, vibrant and full across the palate, with a mix of apple and peach flavors. Clean and balanced, it adds nuances of tea and finally a hint of honey in the extended finish.",Riesling
Navarro 2009 Cuvee 128 Sauvignon Blanc (Mendocino),18,93,"Mendocino's Navarro Vineyards hits it out of the ballpark with this truly stellar Sauvignon Blanc, its 20th year making SB. Partially barrel-fermented, this is an inviting wine of subtle jasmine aromas and touching minerality. An incredibly well-balanced version of the varietal full of lemon thyme and passion fruit. The acidity would cut nicely through a potato gratin.",Sauvignon Blanc
José Maria da Fonseca 2011 José de Sousa Red (Alentejano),16,93,"Fermented partially in old clay amphoras, this is a rich wine that has managed to retain freshness as well. The blend includes Grand Noir, a grape with red juice, as well as Trincadeira and Aragonez. Its density is revealed as it opens up, giving ripe red fruits, solid tannins and a dry core. Drink from 2017.",Portuguese Red
Bodkin 2016 Hotspur Rosé of Syrah (Russian River Valley),19,93,"Nutty, meaty and complex, this crisp, high-toned wine offers food-friendly elegance and refreshment while teasing in savory hints of earthiness. Balanced and dry, it continues to impress as it glides along in the glass.",Syrah
Château Peyros 2013 Vieilles Vignes Tannat-Cabernet (Madiran),20,93,"Vines up to 50-years-old are the basis of this rich and tannic wine. While it does have some age, it still has a way to go. Big bold tannins show strongly along with ripe black-plum skins. The wood aging has given this wine a smooth elegant edge that contrasts with the still young fruitiness. Drink from 2021.",Tannat-Cabernet
Schug 1998 Chardonnay (Carneros),18,93,"Defines Carneros in its rich, nuanced aromas of fig, ripe peach, tangerine, nutmeg and oaky vanilla. Winemaker-induced complexities from barrel fermentation and lees aging. Tremendous depth of flavor, it just sings on the palate and is so rich and spicy. The ultralong finish is sweet and satisfying.",Chardonnay
Sogrape 2010 Quinta dos Carvalhais Colheita Red (Dão),20,93,"A wood-aged wine from the heart of the Dão, it has tannins, a tense mineral structure and layer after layer of black currant fruit and acidity. Dark and brooding at this stage, it needs to age for several years. Drink from 2016.",Portuguese Red
Efeste 2011 Evergreen Vineyard Riesling (Columbia Valley (WA)),18,93,"Marvelous details of tea, honeysuckle and lemon mark the entry of this exceptional Riesling. It's vivid and textural, with terrific acidity, backbone and length—cellar worthy for sure.",Riesling
Kirkland Signature 2008 Signature Series Cabernet Sauvignon (Napa Valley),20,93,"Run, don't walk, to find this amazingly priced Cabernet. It's so good and rich, it easily holds its own against Cabs costing five times as much. Dry and smooth in tannins, it offers a burst of blackberry, black cherry, cassis and chocolate flavors, with a wonderful coating of oak. Drink now–2013.",Cabernet Sauvignon
Terre Rouge 2008 Muscat a Petits Grains Vin Doux Naturel Muscat (Shenandoah Valley (CA)),15,93,"Bill Easton doesn't make this dessert wine every year, so when he does, especially of this caliber, it's a good time to pick up some of this deliciously balanced dessert delight. It's a very nuanced rendering of crisp, clean peach, pear and honey flavors that would go well with fruit desserts or anything involving almond paste.",Muscat
Famille Laplace 2014 Odé d'Aydie Tannat (Madiran),20,93,"The third generation of the Laplace family has produced a black-colored, juicy and richly balanced wine. Its black plum and damson fruit is enclosed in young, firm tannins that will gradually soften. It's a dark, dense wine that will be ready to drink by 2020.",Tannat
Quinta de la Rosa 2013 Red (Douro),20,93,"From 20-year-old vines grown on old stone terraces, this wine is structured and concentrated, yet balanced, with fine red fruits that are layered by tannins and acidity. The wine has a dense texture that gives it depth and ageability. With its structure and rich still-developing fruits, it will be best after 2018.",Portuguese Red
José Maria da Fonseca 2014 José de Sousa Red (Alentejano),16,93,"Named after the owner of the estate in the Alentejo that the Fonseca family bought in 1986, this wine is packed with firm, generous tannins and ripe, juicy black fruits. It has some oak aging that has given the wine a polished feel. With its concentration, structure and final acidity, it will age well. Drink from 2018.",Portuguese Red
South Stage 2013 Riesling (Rogue Valley),20,93,"Joe Dobbes was the winemaker for this Riesling, fashioning an intense and focused wine, with a bit of sweetness but ample acidity to balance it out. It's a deft combination of grapefruit, tangerine, lemon oil and a hint of mint, with impressive length and penetration.",Riesling
Barone di Villagrande 2014  Etna,19,93,"Lovely scents of red berry, wild flower and baking spice lead on this elegant red. The radiant palate has tantalizing depth, offering layers of cherry, crushed raspberry, cinnamon, nutmeg and licorice. Silky tannins and fresh acidity give it an almost weightless texture.",Red Blend
Domaine de Cause 2009 La Lande Cavagnac Malbec (Cahors),19,93,"A bold statement of dark Malbec, it's very rich and very concentrated. The wine has considerable tannins to go with the weight of its fruit. With excellent potential, this wine, made from old-vine grapes, should age for at least seven years",Malbec
I Stefanini 2015 Monte di Fice  (Soave Classico),20,93,"Linear and mineral driven, this intriguing white opens with aromas of beeswax, acacia, citrus, stone fruit and a yeasty whiff of bread crust. On the expressive palate, a mineral note underscores juicy yellow peach, nectarine and apple. There's a lot going on and a lot to enjoy here.",Garganega
Balletto 2015 Estate Grown Estate Bottled Rosé of Pinot Noir (Russian River Valley),18,93,"Stainless-steel fermented, this crisp, thirst-quenching wine is fruity, floral and highly inviting, focused in well-defined flavors of tangerine and lemon. High in acidity without ever pushing too far, it remains complex and textured on the palate, finishing with a memorable tang.",Pinot Noir
Domaine Fond Moiroux 2014  Moulin-à-Vent,20,93,"Vanilla aromas indicate that wood aging has made an already ripe wine even richer. The tannins are still young, calling for aging, but bold cherry and red plum tones are ripe, full bodied and open. Drink this concentrated wine from 2019.",Gamay
Kracher 2012 Beerenauslese Cuvée White (Burgenland),17,93,"Musky hints of apricots mingle with honeyed botrytis notes. The palate reveals a luscious, mellifluous sweetness that is carried by a fine seam of pure, citric acidity. This Beerenauslese treads lighter than a TBA, making it suitable for the less rich, less sweet occasions. This is to be celebrated for its core of citric purity which makes all the apricot richness sing, echoing long after the last drop.",White Blend
Stadlmann 2013 Classic Pinot Noir (Thermenregion),19,93,"The scent of very ripe, crunchy Bing cherries is heady at first. On the palate, red cherry fruit dominates the soft, pliant and lighter body, fringed by pleasant earthiness. This is Pinot Noir in a very Central European idiom: Not weighed down with heavy oak but confident enough to let fruit and place speak for itself. This is elegant and soft, light-bodied yet ripe. If you listen to this, it will slowly reveal its undoubted beauty.",Pinot Noir
Recanati 2014 Shiraz (Galilee),17,93,"Deep red violet in color, this wine has a bouquet of blueberries and mountainside herbs. It is fresh on the palate, with soft tannins dominated by flavors of black cherry, strawberry, cranberry, thyme and orange zest. There is a nice play of berries and roasting herbs lingering on the soft finish.",Shiraz
Selvapiana 2013  Chianti Rufina,18,93,"Elegant and fragrant, this opens with aromas of pressed rose, crushed violet, wild berry and a whiff of baking spice. The vibrant, focused palate delivers juicy red cherry, raspberry, white pepper, cinnamon and dried herb. It's well balanced, with supple tannins and bright acidity. Drink through 2018.",Red Blend
Jerusalem Wineries 2013 3400 Premium Shiraz (Judean Hills),17,93,"Aromas of blueberry and clove, with a soft hint of cinnamon set the scene for flavors of blackberry, anise, black pepper, vanilla and white chocolate. A grid of smooth tannins makes way for a finish dotted by flavors of dark berry, spice, and cranberry sauce.",Shiraz
